,,,,,,,,,,,
,Name[s],Julie T & Bea M,,,,,,,,,
,Date,8/18/2015,,,,,,,,,
,Location,Rogers Ave & Midwood St,,,,,,,,,
,Direction,North,,,,,,,,,
,Weather,Clear,,,,,,,,,
,Speed Limit,25,,,,,,,,,
,,,,,,,,,,,
,Vehicle,Time,Speed,,Vehicle,Time,Speed,,Vehicle,Time,Speed
,1,21:00,29,,1,21:14,24,,1,21:29,24
,2,21:00,24,,2,21:16,27,,2,21:29,29
,3,21:00,29,,3,21:16,25,,3,21:29,27
,4,21:00,23,,4,21:16,24,,4,21:29,36
,5,21:00,24,,5,21:17,20,,5,21:29,37
,6,21:01,47,,6,21:17,26,,6,21:29,24
,7,21:01,29,,7,21:17,27,,7,21:31,26
,8,21:01,28,,8,21:17,28,,8,21:31,32
,9,21:01,33,,9,21:17,30,,9,21:31,25
,10,21:01,30,,10,21:17,27,,10,21:32,15
,11,21:01,28,,11,21:18,3,,11,21:32,15
,12,21:01,35,,12,21:19,26,,12,21:32,23
,13,21:02,32,,13,21:19,22,,13,21:32,24
,14,21:02,26,,14,21:19,23,,14,21:32,25
,15,21:02,30,,15,21:19,23,,15,21:34,22
,16,21:02,28,,16,21:19,27,,16,21:34,27
,17,21:02,29,,17,21:20,21,,17,21:34,20
,18,21:02,26,,18,21:20,22,,18,21:34,20
,19,21:04,26,,19,21:20,23,,19,21:35,33
,20,21:04,36,,20,21:20,24,,20,21:35,27
,21,21:04,35,,21,21:20,30,,21,21:35,28
,22,21:04,37,,22,21:20,35,,22,21:35,22
,23,21:05,28,,23,21:20,26,,23,21:35,24
,24,21:05,45,,24,21:22,2,,24,21:35,28
,25,21:05,36,,25,21:22,27,,25,21:37,25
,26,21:05,28,,26,21:22,25,,26,21:37,27
,27,21:06,25,,27,21:23,27,,27,21:37,27
,28,21:06,30,,28,21:23,25,,28,21:37,28
,29,21:06,29,,29,21:23,27,,29,21:37,28
,30,21:06,29,,30,21:23,31,,30,21:37,30
,31,21:06,39,,31,21:23,30,,31,21:37,3
,32,21:08,19,,32,21:23,24,,32,21:37,23
,33,21:08,23,,33,21:25,23,,33,21:37,22
,34,21:08,23,,34,21:25,26,,34,21:38,29
,35,21:08,20,,35,21:25,24,,35,21:38,22
,36,21:10,23,,36,21:25,28,,36,21:38,23
,37,21:10,30,,37,21:25,32,,37,21:38,26
,38,21:10,31,,38,21:25,26,,38,21:38,35
,39,21:10,25,,39,21:25,26,,39,21:38,27
,40,21:11,28,,40,21:26,25,,40,21:40,28
,41,21:11,30,,41,21:26,23,,41,21:40,27
,42,21:12,32,,42,21:26,23,,42,21:40,26
,43,21:12,29,,43,21:27,34,,43,21:40,31
,44,21:13,27,,44,21:27,24,,44,21:40,29
,45,21:13,29,,45,21:28,26,,45,21:40,29
,46,21:13,32,,46,21:28,26,,46,21:41,24
,47,21:13,25,,47,21:28,32,,47,21:41,30
,48,21:14,26,,48,21:28,30,,48,21:41,24
,49,21:14,28,,49,21:28,34,,49,21:41,26
,50,21:14,29,,50,21:28,23,,50,21:41,27
,,,,,,,,,,,
,,,,,,,,,,,
,Vehicle,Time,Speed,,Vehicle,Time,Speed,,Vehicle,Time,Speed
,1,21:43,21,,1,21:28,32,,1,,
,2,21:43,24,,2,,,,2,,
,3,21:43,29,,3,,,,3,,
,4,21:43,26,,4,,,,4,,
,5,21:43,31,,5,,,,5,,
,6,21:44,20,,6,,,,6,,
,7,21:44,34,,7,,,,7,,
,8,21:44,25,,8,,,,8,,
,9,21:46,30,,9,,,,9,,
,10,21:46,30,,10,,,,10,,
,11,21:46,31,,11,,,,11,,
,12,21:46,40,,12,,,,12,,
,13,21:46,31,,13,,,,13,,
,14,21:46,34,,14,,,,14,,
,15,21:46,37,,15,,,,15,,
,16,21:46,44,,16,,,,16,,
,17,21:46,38,,17,,,,17,,
,18,21:47,19,,18,,,,18,,
,19,21:47,23,,19,,,,19,,
,20,21:47,27,,20,,,,20,,
,21,21:47,26,,21,,,,21,,
,22,21:47,27,,22,,,,22,,
,23,21:48,24,,23,,,,23,,
,24,21:48,27,,24,,,,24,,
,25,21:48,21,,25,,,,25,,
,26,21:50,28,,26,,,,26,,
,27,21:50,30,,27,,,,27,,
,28,21:50,31,,28,,,,28,,
,29,21:50,26,,29,,,,29,,
,30,21:50,29,,30,,,,30,,
,31,21:50,43,,31,,,,31,,
,32,21:52,21,,32,,,,32,,
,33,21:52,25,,33,,,,33,,
,34,21:52,28,,34,,,,34,,
,35,21:52,24,,35,,,,35,,
,36,21:53,27,,36,,,,36,,
,37,21:53,29,,37,,,,37,,
,38,21:53,30,,38,,,,38,,
,39,21:54,27,,39,,,,39,,
,40,21:55,17,,40,,,,40,,
,41,21:55,23,,41,,,,41,,
,42,21:55,27,,42,,,,42,,
,43,21:55,24,,43,,,,43,,
,44,21:57,31,,44,,,,44,,
,45,21:57,23,,45,,,,45,,
,46,21:57,26,,46,,,,46,,
,47,21:57,29,,47,,,,47,,
,48,21:58,24,,48,,,,48,,
,49,21:58,26,,49,,,,49,,
,50,21:58,28,,50,,,,50,,
,,,,,,,,,,,
,,,,,,,,,,,
,Vehicle,Time,Speed,,Vehicle,Time,Speed,,Vehicle,Time,Speed
,1,,,,1,,,,1,,
,2,,,,2,,,,2,,
,3,,,,3,,,,3,,
,4,,,,4,,,,4,,
,5,,,,5,,,,5,,
,6,,,,6,,,,6,,
,7,,,,7,,,,7,,
,8,,,,8,,,,8,,
,9,,,,9,,,,9,,
,10,,,,10,,,,10,,
,11,,,,11,,,,11,,
,12,,,,12,,,,12,,
,13,,,,13,,,,13,,
,14,,,,14,,,,14,,
,15,,,,15,,,,15,,
,16,,,,16,,,,16,,
,17,,,,17,,,,17,,
,18,,,,18,,,,18,,
,19,,,,19,,,,19,,
,20,,,,20,,,,20,,
,21,,,,21,,,,21,,
,22,,,,22,,,,22,,
,23,,,,23,,,,23,,
,24,,,,24,,,,24,,
,25,,,,25,,,,25,,
,26,,,,26,,,,26,,
,27,,,,27,,,,27,,
,28,,,,28,,,,28,,
,29,,,,29,,,,29,,
,30,,,,30,,,,30,,
,31,,,,31,,,,31,,
,32,,,,32,,,,32,,
,33,,,,33,,,,33,,
,34,,,,34,,,,34,,
,35,,,,35,,,,35,,
,36,,,,36,,,,36,,
,37,,,,37,,,,37,,
,38,,,,38,,,,38,,
,39,,,,39,,,,39,,
,40,,,,40,,,,40,,
,41,,,,41,,,,41,,
,42,,,,42,,,,42,,
,43,,,,43,,,,43,,
,44,,,,44,,,,44,,
,45,,,,45,,,,45,,
,46,,,,46,,,,46,,
,47,,,,47,,,,47,,
,48,,,,48,,,,48,,
,49,,,,49,,,,49,,
,50,,,,50,,,,50,,